title,year,director,actors
Rocky,1976,John G. Avildsen,Sylvester Stallone/Talia Shire/Carl Weathers/Burt Young
Rocky 2,1979,Sylvester Stallone,Sylvester Stallone/Talia Shire/Carl Weathers/Burt Young/Burgess Meredith/Tony Burton/Frank Stallone/Stu Nahan
Rocky 3,1982,Sylvester Stallone,Sylvester Stallone/Talia Shire/Carl Weathers/Burt Young/Burgess Meredith/Mister T./Hulk Hogan/Tony Burton
Last Action Hero,1993,John McTierman,Arnold Schwarzenegger/Austin O'Brien/Charles Dance/Bridget Wilson-Sampras
Terminator,1984,James Cameron,Arnold Schwarzenegger/Michael Biehn/Linda Hamilton
Terminator 2,1991,James Cameron,Arnold Schwarzenegger/Linda Hamilton/Edward Furlong/Robert Patrick
Terminator 3,2003,Jonathan Mostow,Arnold Schwarzenegger/Nick Stahl/Claire Danes/Kristanna Loken
Terminator Salvation,2009,Joseph McGinty Nichol,Christian Bale/Sam Worthington/Anton Yelchin/Bryce Dallas Howard
Total Recall,1990,Paul Verhoeven,Arnold Schwarzenegger/Sharon Stone/Michael Ironside/Rachel Ticotin/Ronny Cox
RoboCop,1987,Paul Verhoeven,Peter Weller/Nancy Allen/Ronny Cox/Kurtwood Smith/Miguel Ferrer
Ghostbusters,1984,Ivan Reitman,Bill Murray/Dan Aykroyd/Sigourney Weaver/Harold Ramis/Rick Moranis/Ernie Hudson/Annie Potts/William Atherton
Alien,1979,Ridley Scott,Sigourney Weaver/John Hurt/Ian Holm/Harry Dean Stanton/Tom Skerritt/Yaphet Kotto/Veronica Cartwright
Avatar,2009,James Cameron,Sam Worthington/Zoe Saldana/Sigourney Weaver/Michelle Rodriguez/Giovanni Ribisi
Lucy,2014,Luc Besson,Scarlett Johansson/Morgan Freeman/Choi Min-sik
Le Cinquième Élément,1997,Luc Besson,Bruce Willis/Milla Jovovich/Ian Holm/Gary Oldman/Chris Tucker
Léon,1994,Luc Besson,Jean Reno/Gary Oldman/Natalie Portman/Danny Aiello
2001: A Space Odyssey,1968,Stanley Kubrick,Keir Dullea/Gary Lockwood/William Sylvester/Daniel Richter/Leonard Rossiter/Douglas Rain
Prometheus,2012,Ridley Scott,Noomi Rapace/Michael Fassbender/Guy Pearce/Idris Elba/Logan Marshall-Green/Charlize Theron
Her,2013,Spike Jonze,Joaquin Phoenix/Scarlett Johansson/Olivia Wilde/Amy Adams/Rooney Mara
Kingdom of Heaven,2005,Ridley Scott,Orlando Bloom/Eva Green/Jeremy Irons/Liam Neeson
Edge of Tomorrow,2014,Doug Liman,Emily Blunt/Tom Cruise/Bill Paxton/Charlotte Riley/Jonas Armstrong
Oblivion,2013,Joseph Kosinski,Tom Cruise/Nikolaj Coster-Waldau/Morgan Freeman/Olga Kurylenko/Melissa Leo/Andrea Riseborough
Star Wars Episode IV: A New Hope,1977,George Lucas,Mark Hamill/Harrison Ford/Carrie Fisher/Peter Cushing/Alec Guinness/Anthony Daniels/Kenny Baker/David Prowse/Peter Mayhew
Star Wars Episode V: The Empire Strikes Back,1980,Irvin Kershner,Mark Hamill/Harrison Ford/Carrie Fisher/Billy Dee Williams/Anthony Daniels/David Prowse/Kenny Baker/Peter Mayhew/Frank Oz
Star Wars Episode VI: Return of the Jedi,1983,Richard Marquand,Mark Hamill/Harrison Ford/Carrie Fisher/Billy Dee Williams/Anthony Daniels/David Prowse/Kenny Baker/Peter Mayhew/Frank Oz
Star Wars Episode I: The Phantom Menace,1999,George Lucas,Liam Neeson/Ewan McGregor/Natalie Portman/Jake Lloyd/Ian McDiarmid/Pernilla August
Star Wars Episode II: Attack of the Clones,2002,George Lucas,Ewan McGregor/Natalie Portman/Hayden Christensen/Christopher Lee/Samuel L. Jackson
Star Wars Episode III: Revenge of the Sith,2005,George Lucas,Ewan McGregor/Natalie Portman/Hayden Christensen/Ian McDiarmid/Samuel L. Jackson
Dracula,1992,Francis Ford Coppola,Gary Oldman/Winona Ryder/Anthony Hopkins/Keanu Reeves
